Price,Year,Miles,Zip,Name
19900,2010,33800,z55347,Toyota Prius 
13500,2008,91400,z55347,Toyota Prius 
10900,2007,111900,z55347,Toyota Prius 
25600,2011,6900,z55347,Toyota Prius 
24000,2010,37100,z55347,Toyota Prius 
24000,2010,36500,z55347,Toyota Prius 
23600,2010,34600,z55347,Toyota Prius 
23000,2010,15600,z55347,Toyota Prius 
23000,2010,33200,z55347,Toyota Prius 
22000,2010,30600,z55347,Toyota Prius 
22000,2012,9800,z55347,Toyota Prius 
22000,2012,10700,z55347,Toyota Prius 
22000,2012,8100,z55347,Toyota Prius 
22000,2012,12400,z55347,Toyota Prius 
21000,2012,13700,z55347,Toyota Prius 
21000,2012,15300,z55347,Toyota Prius 
21000,2010,30900,z55347,Toyota Prius 
21000,2012,17400,z55347,Toyota Prius 
20600,2010,29500,z55347,Toyota Prius 
20000,2010,35800,z55347,Toyota Prius 
19600,2010,34800,z55347,Toyota Prius 
19600,2010,35400,z55347,Toyota Prius 
19000,2010,33600,z55347,Toyota Prius 
19000,2008,20400,z55347,Toyota Prius 
19000,2010,46000,z55347,Toyota Prius 
19000,2010,59100,z55347,Toyota Prius 
17000,2009,67400,z55347,Toyota Prius 
17000,2010,60700,z55347,Toyota Prius 
16600,2010,68900,z55347,Toyota Prius 
13400,2008,78200,z55347,Toyota Prius 
13800,2009,89500,z55347,Toyota Prius 
13000,2007,84600,z55347,Toyota Prius 
13000,2008,92300,z55347,Toyota Prius 
11000,2005,87600,z55347,Toyota Prius 
16000,2010,91800,z55347,Toyota Prius 
17000,2010,69700,z55347,Toyota Prius 
8000,2005,167400,z55347,Toyota Prius 
19900,2011,41400,z55347,Toyota Prius 
19900,2010,27500,z55347,Toyota Prius 
8900,2006,111900,z55347,Toyota Prius 
19900,2010,27500,z55347,Toyota Prius 
23000,2010,35800,z55347,Toyota Prius 
22500,2010,28200,z55347,Toyota Prius 
22500,2010,23400,z55347,Toyota Prius 
22000,2011,12700,z55347,Toyota Prius 
22000,2011,4400,z55347,Toyota Prius 
21000,2010,35400,z55347,Toyota Prius 
20000,2010,26600,z55347,Toyota Prius 
19000,2011,42500,z55347,Toyota Prius 
16400,2009,52900,z55347,Toyota Prius 
31900,2010,328000,z06020,Toyota Prius 
27000,2012,5200,z06020,Toyota Prius 
24000,2011,23000,z06020,Toyota Prius 
26600,2010,26600,z06020,Toyota Prius 
23000,2011,58300,z06020,Toyota Prius 
13900,2009,89700,z06020,Toyota Prius 
13900,2009,14200,z06020,Toyota Prius 
15000,2008,56000,z06020,Toyota Prius 
12500,2008,89700,z06020,Toyota Prius 
15000,2006,60580,z06020,Toyota Prius 
10000,2004,100000,z06020,Toyota Prius 
23000,2010,30500,z06020,Toyota Prius 
8900,2004,82700,z06020,Toyota Prius 
17900,2010,47900,z06020,Toyota Prius 
9000,2005,117100,z06020,Toyota Prius 
15000,2008,69100,z06020,Toyota Prius 
27000,2012,5200,z06020,Toyota Prius 
20000,2010,30700,z06020,Toyota Prius 
12000,2008,84000,z06020,Toyota Prius 
11000,2008,92900,z06020,Toyota Prius 
9500,2008,117500,z06020,Toyota Prius 
23000,2011,58300,z06020,Toyota Prius 
18000,2010,46300,z06020,Toyota Prius 
13000,2007,80300,z06020,Toyota Prius 
32000,2010,32800,z06020,Toyota Prius 
26000,2010,40800,z06020,Toyota Prius 
23000,2010,26600,z06020,Toyota Prius 
22000,2012,14800,z06020,Toyota Prius 
22000,2010,35900,z06020,Toyota Prius 
21000,2010,40700,z06020,Toyota Prius 
21000,2010,26800,z06020,Toyota Prius 
21000,2011,22200,z06020,Toyota Prius 
21000,2010,47400,z06020,Toyota Prius 
21000,2011,11000,z06020,Toyota Prius 
20000,2010,26500,z06020,Toyota Prius 
15000,2008,56600,z06020,Toyota Prius 
14000,2008,54000,z06020,Toyota Prius 
14000,2007,45500,z06020,Toyota Prius 
18000,2010,9500,z06020,Toyota Prius 
23000,2011,24000,z06020,Toyota Prius 
14000,2009,25000,z06020,Toyota Prius 
20000,2009,34300,z06020,Toyota Prius 
12000,2007,97000,z06020,Toyota Prius 
13000,2009,88800,z06020,Toyota Prius 
11000,2008,100100,z06020,Toyota Prius 
9000,2005,91000,z06020,Toyota Prius 
22000,2012,9500,z06020,Toyota Prius 
18600,2010,49100,z06020,Toyota Prius 
14300,2009,72200,z06020,Toyota Prius 
9000,2005,127600,z06020,Toyota Prius 
18000,2011,27000,z90210,Toyota Prius 
23800,2011,18000,z90210,Toyota Prius 
16000,2010,91300,z90210,Toyota Prius 
23000,2010,18700,z90210,Toyota Prius 
24000,2010,13300,z90210,Toyota Prius 
24000,2010,27600,z90210,Toyota Prius 
23900,2010,27400,z90210,Toyota Prius 
28000,2010,23800,z90210,Toyota Prius 
25900,2010,27700,z90210,Toyota Prius 
26900,2010,42800,z90210,Toyota Prius 
15000,2007,73600,z90210,Toyota Prius 
21500,2010,26800,z90210,Toyota Prius 
25800,2010,22200,z90210,Toyota Prius 
23600,2012,11200,z90210,Toyota Prius 
23500,2012,12000,z90210,Toyota Prius 
21300,2012,23200,z06020,Toyota Prius 
22500,2010,38100,z90210,Toyota Prius 
19000,2010,26200,z90210,Toyota Prius 
19000,2010,32100,z90210,Toyota Prius 
23000,2010,28300,z90210,Toyota Prius 
22000,2010,36000,z90210,Toyota Prius 
18000,2008,55700,z90210,Toyota Prius 
25000,2010,35000,z90210,Toyota Prius 
21000,2011,31400,z90210,Toyota Prius 
21000,2010,31100,z90210,Toyota Prius 
23000,2010,30500,z90210,Toyota Prius 
23000,2010,30100,z90210,Toyota Prius 
6000,2002,153000,z06020,Toyota Prius 
22500,2011,9400,z90210,Toyota Prius 
15900,2008,43000,z90210,Toyota Prius 
17400,2009,49400,z90210,Toyota Prius 
22500,2012,8100,z90210,Toyota Prius 
23000,2010,42600,z90210,Toyota Prius 
20600,2010,42400,z90210,Toyota Prius 
22900,2010,25483,z90210,Toyota Prius 
15500,2007,63700,z90210,Toyota Prius 
15800,2006,67700,z90210,Toyota Prius 
25000,2010,37700,z06020,Toyota Prius 
27000,2012,6700,z90210,Toyota Prius 
18000,2010,56100,z90210,Toyota Prius 
22000,2010,34700,z90210,Toyota Prius 
